ts_utc,combo_id,kappa,g0,t,eta,S,H,rho,Gstar,bias,clamp,tri_C,eta_cap,slot7_jobs
2025-11-05T13:08:12Z,1,0.01,0.55,0,0.07749384323098939,0.07749384323098939,0.175,0.2449489742783178,0.2992988485705682,-0.0025070115142943185,0.0,0.7,,
2025-11-05T13:08:17Z,1,0.01,0.55,5,0.07749384323098939,0.07749384323098939,0.175,0.2449489742783178,0.2992988485705682,-0.0025070115142943185,0.0,0.7,,
2025-11-05T13:08:22Z,1,0.01,0.55,10,0.07749298848570568,0.07749298848570568,0.175,0.2449489742783178,0.2994127077507749,-0.0025058729224922516,0.0,0.7,,
2025-11-05T13:08:27Z,1,0.01,0.55,15,0.07749298848570568,0.07749298848570568,0.175,0.2449489742783178,0.2994127077507749,-0.0025058729224922516,0.0,0.7,,
2025-11-05T13:08:32Z,1,0.01,0.55,20,0.07749298848570568,0.07749298848570568,0.175,0.2449489742783178,0.2994127077507749,-0.0025058729224922516,0.0,0.7,,
2025-11-05T13:08:37Z,1,0.01,0.55,25,0.07749412707750775,0.07749412707750775,0.175,0.2449489742783178,0.2999983713333037,-0.0025000162866669635,0.0,0.7,,
2025-11-05T13:08:42Z,1,0.01,0.55,30,0.07749412707750775,0.07749412707750775,0.175,0.2449489742783178,0.2999983713333037,-0.0025000162866669635,0.0,0.7,,
2025-11-05T13:08:47Z,1,0.01,0.55,35,0.07749412707750775,0.07749412707750775,0.175,0.2449489742783178,0.2999983713333037,-0.0025000162866669635,0.0,0.7,,
2025-11-05T13:08:52Z,1,0.01,0.55,40,0.07749998371333304,0.07749998371333304,0.175,0.2449489742783178,0.2999892645356916,-0.0025001073546430845,0.0,0.7,,
2025-11-05T13:08:57Z,1,0.01,0.55,45,0.07749998371333304,0.07749998371333304,0.175,0.2449489742783178,0.2999892645356916,-0.0025001073546430845,0.0,0.7,,
2025-11-05T13:09:02Z,1,0.01,0.55,50,0.07749998371333304,0.07749998371333304,0.175,0.2449489742783178,0.2999892645356916,-0.0025001073546430845,0.0,0.7,,
2025-11-05T13:09:07Z,1,0.01,0.55,55,0.07749989264535692,0.07749989264535692,0.175,0.2449489742783178,0.2999875517704486,-0.0025001244822955146,0.0,0.7,,
2025-11-05T13:09:12Z,1,0.01,0.55,60,0.07749989264535692,0.07749989264535692,0.175,0.2449489742783178,0.2999875517704486,-0.0025001244822955146,0.0,0.7,,
2025-11-05T13:09:17Z,1,0.01,0.55,65,0.07749989264535692,0.07749989264535692,0.175,0.2449489742783178,0.2999875517704486,-0.0025001244822955146,0.0,0.7,,
2025-11-05T13:09:22Z,1,0.01,0.55,70,0.07749987551770449,0.07749987551770449,0.175,0.2449489742783178,0.29999029307144204,-0.00250009706928558,0.0,0.7,,
2025-11-05T13:09:27Z,1,0.01,0.55,75,0.07749987551770449,0.07749987551770449,0.175,0.2449489742783178,0.29999029307144204,-0.00250009706928558,0.0,0.7,,
2025-11-05T13:09:33Z,1,0.01,0.55,80,0.07749987551770449,0.07749987551770449,0.175,0.2449489742783178,0.29999029307144204,-0.00250009706928558,0.0,0.7,,
2025-11-05T13:09:38Z,1,0.01,0.55,85,0.07749990293071442,0.07749990293071442,0.175,0.2449489742783178,0.2999998390049043,-0.0025000016099509578,0.0,0.7,,
2025-11-05T13:09:43Z,1,0.01,0.55,90,0.07749990293071442,0.07749990293071442,0.175,0.2449489742783178,0.2999998390049043,-0.0025000016099509578,0.0,0.7,,
2025-11-05T13:09:48Z,1,0.01,0.55,95,0.07749990293071442,0.07749990293071442,0.175,0.2449489742783178,0.2999998390049043,-0.0025000016099509578,0.0,0.7,,
2025-11-05T13:09:53Z,1,0.01,0.55,100,0.07749999839004905,0.07749999839004905,0.175,0.2449489742783178,0.29999981500496314,-0.002500001849950369,0.0,0.7,,
2025-11-05T13:09:58Z,1,0.01,0.55,105,0.07749999839004905,0.07749999839004905,0.175,0.2449489742783178,0.29999981500496314,-0.002500001849950369,0.0,0.7,,
2025-11-05T13:10:03Z,1,0.01,0.55,110,0.07749999839004905,0.07749999839004905,0.175,0.2449489742783178,0.29999981500496314,-0.002500001849950369,0.0,0.7,,
2025-11-05T13:10:08Z,1,0.01,0.55,115,0.07749999815004963,0.07749999815004963,0.175,0.2449489742783178,0.2999997856345373,-0.0025000021436546276,0.0,0.7,,
2025-11-05T13:10:13Z,1,0.01,0.55,120,0.07749999815004963,0.07749999815004963,0.175,0.2449489742783178,0.2999997856345373,-0.0025000021436546276,0.0,0.7,,
2025-11-05T13:10:18Z,1,0.01,0.55,125,0.07749999815004963,0.07749999815004963,0.175,0.2449489742783178,0.2999997856345373,-0.0025000021436546276,0.0,0.7,,
2025-11-05T13:10:23Z,1,0.01,0.55,130,0.07749999785634537,0.07749999785634537,0.175,0.2449489742783178,0.2999998404237021,-0.0025000015957629797,0.0,0.7,,
2025-11-05T13:10:28Z,1,0.01,0.55,135,0.07749999785634537,0.07749999785634537,0.175,0.2449489742783178,0.2999998404237021,-0.0025000015957629797,0.0,0.7,,
2025-11-05T13:10:33Z,1,0.01,0.55,140,0.07749999785634537,0.07749999785634537,0.175,0.2449489742783178,0.2999998404237021,-0.0025000015957629797,0.0,0.7,,
2025-11-05T13:10:38Z,1,0.01,0.55,145,0.07749999840423702,0.07749999840423702,0.175,0.2449489742783178,0.2999999991378406,-0.002500000008621595,0.0,0.7,,
2025-11-05T13:10:43Z,1,0.01,0.55,150,0.07749999840423702,0.07749999840423702,0.175,0.2449489742783178,0.2999999991378406,-0.002500000008621595,0.0,0.7,,
2025-11-05T13:10:48Z,1,0.01,0.55,155,0.07749999840423702,0.07749999840423702,0.175,0.2449489742783178,0.2999999991378406,-0.002500000008621595,0.0,0.7,,
2025-11-05T13:10:53Z,1,0.01,0.55,160,0.07749999999137841,0.07749999999137841,0.175,0.2449489742783178,0.2999999968022118,-0.0025000000319778826,0.0,0.7,,
2025-11-05T13:10:58Z,1,0.01,0.55,165,0.07749999999137841,0.07749999999137841,0.175,0.2449489742783178,0.2999999968022118,-0.0025000000319778826,0.0,0.7,,
2025-11-05T13:11:03Z,1,0.01,0.55,170,0.07749999999137841,0.07749999999137841,0.175,0.2449489742783178,0.2999999968022118,-0.0025000000319778826,0.0,0.7,,
2025-11-05T13:11:08Z,1,0.01,0.55,175,0.07749999996802212,0.07749999996802212,0.175,0.2449489742783178,0.29999999634266294,-0.002500000036573371,0.0,0.7,,
2025-11-05T13:11:13Z,1,0.01,0.55,180,0.07749999996802212,0.07749999996802212,0.175,0.2449489742783178,0.29999999634266294,-0.002500000036573371,0.0,0.7,,
2025-11-05T13:11:18Z,1,0.01,0.55,185,0.07749999996802212,0.07749999996802212,0.175,0.2449489742783178,0.29999999634266294,-0.002500000036573371,0.0,0.7,,
2025-11-05T13:11:23Z,1,0.01,0.55,190,0.07749999996342663,0.07749999996342663,0.175,0.2449489742783178,0.2999999973680156,-0.002500000026319845,0.0,0.7,,
2025-11-05T13:11:28Z,1,0.01,0.55,195,0.07749999996342663,0.07749999996342663,0.175,0.2449489742783178,0.2999999973680156,-0.002500000026319845,0.0,0.7,,
